Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1926-07,90,37,127,51,18,5,41,7,21,113
1926-08,90,37,127,51,18,5,41,7,21,113
1926-09,90,37,127,50,18,5,41,7,21,113
1926-10,90,37,127,50,18,5,41,7,21,113
1926-11,90,37,127,50,18,5,41,7,21,113
1926-12,89,37,127,50,18,5,41,7,21,112
1927-01,89,37,127,49,18,5,41,7,21,112
1927-02,87,37,127,49,18,5,41,7,21,111
1927-03,87,37,127,49,18,5,41,7,21,111
1927-04,87,37,127,49,18,4,41,7,21,110
1927-05,87,37,127,49,18,4,41,7,21,110
1927-06,87,37,126,49,18,4,41,7,21,110
1927-07,98,43,129,55,19,5,46,7,23,122
1927-08,98,43,128,55,19,5,46,7,23,122
1927-09,98,43,128,55,19,5,46,7,23,122
1927-10,98,43,128,55,19,5,46,7,23,122
1927-11,97,43,126,55,18,5,46,7,23,122
1927-12,97,43,126,55,18,5,46,7,23,122
1928-01,96,43,126,55,18,5,46,7,23,122
1928-02,96,43,126,55,18,5,46,7,23,122
1928-03,96,43,125,55,18,5,46,6,22,122
1928-04,96,43,125,55,18,5,46,6,22,122
1928-05,96,43,125,55,18,4,46,6,22,122
1928-06,96,43,125,55,18,4,45,6,22,122
1928-07,105,45,139,56,19,4,51,6,23,122
1928-08,105,44,139,56,19,4,51,6,23,122
1928-09,105,44,139,56,19,4,51,6,23,122
1928-10,105,44,139,56,19,4,51,6,23,121
1928-11,105,44,139,56,19,4,51,6,23,121
1928-12,104,44,139,56,19,4,51,6,23,121
1929-01,103,43,139,56,19,4,51,5,23,120
1929-02,103,43,139,56,19,4,51,5,23,120
1929-03,103,43,139,56,18,4,51,5,23,120
1929-04,103,43,139,56,18,4,51,5,23,120
1929-05,102,43,139,56,18,4,51,5,22,120
1929-06,101,43,139,56,18,4,51,5,22,119
1929-07,122,50,169,61,20,4,60,6,23,132
1929-08,122,50,168,61,20,4,60,6,23,132
1929-09,122,50,168,61,20,4,60,6,23,131
1929-10,121,50,168,60,20,4,60,6,22,130
1929-11,121,50,168,60,20,4,60,6,22,130
1929-12,120,50,168,60,20,4,60,6,22,129
1930-01,120,50,168,59,20,4,60,6,22,128
1930-02,119,49,168,59,20,4,60,6,22,128
1930-03,119,49,167,59,20,4,60,5,22,128
1930-04,118,49,166,58,20,4,60,5,22,127
1930-05,118,49,165,58,20,4,60,5,22,127
1930-06,117,48,164,58,20,4,60,4,22,126
1930-07,117,53,196,59,27,4,70,5,23,143
1930-08,117,53,196,58,27,4,70,5,23,143
1930-09,117,53,196,57,27,4,70,5,23,143
1930-10,117,53,195,56,27,4,70,5,23,143
1930-11,117,52,195,56,27,4,70,5,23,143
1930-12,117,52,195,56,27,4,70,5,23,143
1931-01,117,52,194,56,27,4,70,5,23,142
1931-02,117,52,192,56,27,4,70,5,23,142
1931-03,116,52,192,56,27,4,70,5,23,141
1931-04,116,52,192,56,26,4,70,5,23,141
1931-05,116,51,192,56,26,4,70,5,23,141
