Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1926-07,31.58,53.05,38.49,84.59,89.75,350.36,39.19,25.52,81.22,51.64
1926-08,32.0,61.05,40.17,83.49,92.3,353.27,39.13,25.8,86.81,52.59
1926-09,33.18,62.94,41.16,86.27,94.49,360.96,38.76,26.73,85.01,54.68
1926-10,33.32,65.75,41.39,82.94,93.38,364.16,38.77,26.87,86.41,54.59
1926-11,32.83,60.18,39.77,82.19,89.05,363.74,37.79,26.54,83.92,52.9
1926-12,34.77,58.76,41.25,81.69,93.02,369.65,40.02,27.81,86.7,54.15
1927-01,34.78,64.38,42.37,85.19,92.25,371.52,40.19,27.62,86.12,55.55
1927-02,35.2,63.63,42.21,86.11,91.14,378.52,39.06,28.85,84.41,56.71
1927-03,36.26,68.73,44.53,86.96,94.97,393.55,40.28,29.16,87.9,59.36
1927-04,36.94,69.66,44.88,81.29,95.58,500.46,40.05,29.4,87.84,60.27
1927-05,38.12,71.7,45.09,76.9,100.74,489.8,41.56,30.03,89.13,60.68
1927-06,41.12,74.97,47.65,80.21,107.82,506.18,42.49,31.08,97.0,64.37
1927-07,39.03,67.29,45.74,85.18,93.43,421.56,39.24,33.05,100.48,59.42
1927-08,40.84,75.92,51.52,87.49,104.79,437.31,43.0,36.12,105.48,62.78
1927-09,41.87,80.69,52.8,86.93,110.48,439.17,45.98,36.02,108.73,61.92
1927-10,43.79,85.09,55.06,89.49,111.14,462.04,49.36,37.99,117.36,64.42
1927-11,41.6,81.24,52.06,87.42,108.19,452.37,46.81,39.62,111.96,61.86
1927-12,44.33,84.82,57.39,90.69,119.56,465.15,52.09,40.86,118.67,64.42
1928-01,45.32,91.22,58.87,90.6,120.27,465.55,51.66,40.55,120.98,65.23
1928-02,45.51,88.04,58.4,88.78,119.76,466.92,51.1,41.46,127.73,64.41
1928-03,43.48,88.53,57.43,88.11,118.9,465.52,50.33,34.35,131.36,62.88
1928-04,45.09,112.7,61.82,92.54,141.29,468.84,54.5,37.75,139.7,66.38
1928-05,44.82,114.21,62.61,106.44,144.41,592.0,54.28,38.56,154.57,69.09
1928-06,45.12,119.28,64.64,100.33,147.42,631.15,57.52,41.86,156.5,68.88
1928-07,42.82,112.49,60.19,96.24,140.92,644.26,52.7,62.28,154.49,68.91
1928-08,43.48,115.79,61.25,97.14,141.81,636.03,55.47,63.68,152.09,68.49
1928-09,46.0,125.67,66.26,99.0,155.34,664.99,62.81,72.5,161.4,71.44
1928-10,46.3,135.35,68.82,104.02,155.57,657.74,62.84,71.51,167.22,71.65
1928-11,46.64,135.29,71.67,106.03,158.37,677.23,66.45,71.46,163.61,71.19
1928-12,49.8,139.75,80.62,123.6,189.05,722.45,76.41,74.61,199.02,77.97
1929-01,49.46,140.82,82.76,118.03,201.3,711.49,75.33,86.73,201.74,78.34
1929-02,51.04,142.5,91.71,108.91,222.35,806.64,72.3,89.6,227.83,82.52
